geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US10314,"10314",31363,1003,1416,330,932,264,923,196,954,357,1136,228,971,251,1367,384,992,214,584,168,1852,425,2152,352,3655,467,3591,461,2877,409,3568,475,4393,484
86000US10451,"10451",20229,923,3558,495,2432,423,1326,306,1156,302,1020,310,1103,241,913,259,1157,309,901,272,1178,355,1344,383,1559,318,834,249,563,201,563,204,622,294
86000US10452,"10452",27018,1065,4544,619,2745,577,2293,457,1919,404,1588,291,1751,392,1511,416,1647,415,1049,262,1988,450,1949,409,2080,430,1099,212,377,136,277,144,201,117
86000US10453,"10453",27401,1081,4651,580,3155,556,2446,513,1759,281,1179,358,1337,302,1234,285,1479,349,1108,247,1801,372,2287,351,2297,345,1270,354,475,157,649,218,274,183
86000US10454,"10454",13573,669,3031,401,2316,532,939,251,720,216,634,210,639,181,723,360,708,195,429,155,660,230,602,193,882,235,503,209,271,136,184,88,332,190
86000US10455,"10455",14826,900,2490,415,2040,569,1332,375,677,203,993,377,978,265,582,248,780,256,440,171,636,166,1032,226,1423,391,555,181,486,215,200,125,182,112
86000US10456,"10456",31449,1498,5407,653,3598,821,2630,355,2201,414,1274,303,1636,370,1578,471,1740,518,1422,398,2328,423,2540,616,2435,518,1238,296,628,206,449,139,345,166
86000US10457,"10457",24333,1098,4279,530,2924,501,1783,345,1282,272,1112,236,1405,342,831,249,1117,251,1290,394,1382,270,2403,363,1929,380,1190,284,549,177,562,240,295,133
86000US10458,"10458",28705,1082,3910,612,3213,639,1953,457,1495,359,1311,309,1547,388,1354,295,1432,297,1636,351,3007,463,2051,334,2881,484,1298,325,649,204,650,231,318,161
86000US10459,"10459",17058,760,2796,368,1909,315,1333,338,1172,250,999,371,939,237,848,200,690,207,501,153,1214,351,1188,314,1609,362,767,186,381,163,351,169,361,180
86000US10460,"10460",20212,766,3189,446,2427,406,2041,418,1410,324,1262,259,986,257,1005,258,705,203,551,215,1272,241,1458,364,1397,287,1017,316,562,191,490,173,440,168
86000US10461,"10461",19122,723,1205,267,1066,281,1047,326,729,230,761,221,863,282,741,217,746,213,770,222,1565,394,1754,297,2474,341,1945,269,1103,252,1251,262,1102,328
86000US10462,"10462",28981,952,2408,334,1485,319,1438,300,1250,265,1041,221,1107,245,1105,247,1032,278,1422,328,3024,429,3051,372,3842,399,3330,678,1224,207,1227,273,995,238
86000US10463,"10463",29490,1121,1955,350,2123,688,1963,491,1493,327,1156,324,785,215,1194,310,972,317,1160,346,1858,270,2679,427,3152,432,2658,404,1683,383,2410,427,2249,307
86000US10464,"10464",1874,235,29,35,41,48,20,36,57,75,88,93,144,126,0,12,78,92,91,80,84,75,127,103,154,80,194,114,99,76,434,248,234,95
86000US10465,"10465",16122,741,1360,377,998,217,622,152,884,264,453,137,297,111,399,173,487,170,414,142,838,173,1316,290,1809,293,1456,267,1481,425,1731,306,1577,244
86000US10466,"10466",25009,1032,2679,611,1752,450,1115,295,1028,275,864,244,1120,287,881,365,825,303,1103,416,1380,302,2567,434,2806,496,2431,317,1559,289,1359,251,1540,421
86000US10467,"10467",37713,1103,4228,554,3480,578,2146,405,2180,503,2178,439,1994,374,2322,394,1951,365,1566,382,2595,462,3707,423,3644,541,2635,478,1404,322,1075,259,608,191
86000US10468,"10468",26917,1296,3768,536,2209,400,2187,575,1960,354,1512,485,1013,238,1505,291,1035,348,1200,333,2445,561,2266,460,2496,415,1122,289,1297,645,490,174,412,135
86000US10469,"10469",22886,893,1633,340,901,252,1298,488,1016,239,1019,310,902,301,871,212,671,178,566,163,1331,273,2474,438,2894,472,2063,451,1549,341,2101,372,1597,311
86000US10470,"10470",6096,424,374,129,183,69,196,83,231,94,366,161,199,86,149,79,210,101,229,95,738,307,626,151,794,172,515,136,441,199,413,145,432,115
86000US10471,"10471",8714,475,448,162,259,131,226,84,311,101,187,96,277,92,515,296,152,84,65,43,477,164,496,123,1156,234,1200,199,589,206,967,290,1389,203
86000US10472,"10472",22221,814,3521,384,2060,353,1457,330,1360,346,1187,315,1241,279,1305,253,665,166,725,202,1410,322,1954,427,1890,323,1169,256,816,246,917,217,544,196
